,loss,accuracy,val_loss,val_accuracy
0,3.098829746246338,0.0732562392950058,2.2717690467834473,0.2762702703475952
1,1.4719144105911255,0.5039610266685486,0.7161117792129517,0.7606993317604065
2,0.6714743375778198,0.7674831748008728,0.27406740188598633,0.9215078949928284
3,0.37937259674072266,0.8667364716529846,0.1974053680896759,0.930431604385376
4,0.27396121621131897,0.9034329056739807,0.1161499097943306,0.966490626335144
5,0.2074156403541565,0.9282917380332947,0.05891812965273857,0.9814241528511047
6,0.1697680503129959,0.9427244663238525,0.09217569977045059,0.9715898633003235
7,0.15025648474693298,0.9506009817123413,0.07462222129106522,0.9770533442497253
8,0.14698126912117004,0.9510107636451721,0.04686510190367699,0.9874339699745178
9,0.12251786887645721,0.9572482109069824,0.04874854534864426,0.9814241528511047
10,0.11448068916797638,0.9606173634529114,0.016009606420993805,0.9958113431930542
11,0.11289844661951065,0.9616645574569702,0.0259924978017807,0.9925332069396973
12,0.09047681838274002,0.9699053168296814,0.015080341137945652,0.9963576793670654
13,0.09508449584245682,0.9698142409324646,0.05194142833352089,0.9837916493415833
14,0.08663443475961685,0.9709979891777039,0.018827838823199272,0.9938080310821533
15,0.08263804763555527,0.9721361994743347,0.0211242213845253,0.9921690225601196
16,0.06966443359851837,0.977872908115387,0.02839876338839531,0.9914405345916748
17,0.08165980130434036,0.9742305874824524,0.021137725561857224,0.9925332069396973
18,0.07745187729597092,0.974503755569458,0.007826999761164188,0.9981788396835327
19,0.0606432780623436,0.9809688329696655,0.0037668568547815084,0.9992715120315552
20,0.07397624105215073,0.9744126796722412,0.01779817044734955,0.9943544268608093
21,0.07797335833311081,0.9757785201072693,0.020577406510710716,0.9928974509239197
22,0.058693576604127884,0.9806046485900879,0.005699081812053919,0.9985430836677551
23,0.05705786868929863,0.9810599088668823,0.008220020681619644,0.9978145956993103
24,0.05653514340519905,0.9821071028709412,0.003457545768469572,0.9990894198417664
